name_of_tfi_recruiter,candidate_id_number,region,initial_joining_likelihood,primary_decline_reason,instead_of_the_fellowship_ill_be_doing,how_did_chatting_with_a_recruiter_over_phone_call_impact_your_motivation_to_join_the_fellowship,how_did_exchanging_emails_with_the_recruitment_team_impact_your_motivation_to_join_the_fellowship,how_did_attending_any_of_the_recruitment_events_impact_your_motivation_to_join_the_fellowship,how_did_meeting_during_the_group_interview_stage_impact_your_motivation_to_join_the_fellowship,how_did_attending_onlinewebinar_recruitment_events_impact_your_motivation_to_join_the_fellowship
George,1001078,India - North,5.0,Medical concerns (for self or family),I am not sure yet,Increased your motivation to join,,,,Increased your motivation to join
Ginny,1001079,India - South,3.0,Others,Pursue further education,,,,Increased your motivation to join,
Ginny,1001080,India - South,5.0,Others,Work with another organisation in the same industry,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Cedric,1001081,India - South,5.0,Commitments due to recent/upcoming marriage,I plan to pursue other personal activities,Increased your motivation to join,,,Increased your motivation to join,
Cedric,1001082,India - South,5.0,Concerned about expected stipend; Lack of support from family; Medical concerns (for self or family),Pursue further education,Did not have an impact on your motivation to join,,Decreased your motivation to join,Did not have an impact on your motivation to join,Did not have an impact on your motivation to join
Cedric,1001083,India - South,5.0,Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Cedric,1001084,India - South,3.0,Relocation concerns,I plan to pursue other personal activities,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Cedric,1001085,India - South,5.0,Concerned about financial commitments; Concerned about expected stipend,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Cedric,1001086,India - South,3.0,Concerned about expected stipend,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Did not have an impact on your motivation to join
Cedric,1001087,India - South,4.0,Relocation concerns,I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Cedric,1001088,India - South,5.0,Lack of support from family; Medical concerns (for self or family); Relocation concerns,I am not sure yet,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join,,
Cedric,1001089,India - South,5.0,Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Cedric,1001090,India - South,3.0,Uncertainty about opportunities Post-Fellowship,I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Cedric,1001091,India - South,3.0,Medical concerns (for self or family),I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Cedric,1001092,India - South,3.0,Inability to join on Institute start date,I am not sure yet,Increased your motivation to join,,,Increased your motivation to join,Did not have an impact on your motivation to join
Cedric,1001093,India - South,5.0,Lack of support from family; Relocation concerns,I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Cedric,1001094,India - South,1.0,Job opportunity in current organization,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Cedric,1001095,India - South,,Concerned about financial commitments,I plan to pursue other personal activities,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Cedric,1001096,India - South,3.0,Lack of support from family; Others,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Neville,1001097,India - South,5.0,Inability to join on Institute start date,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Neville,1001098,India - South,3.0,Inability to join on Institute start date,I am not sure yet,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Neville,1001099,India - South,3.0,Lack of support from family,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Neville,1001100,India - South,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Neville,1001101,India - South,3.0,Availability of alternate opportunity to pursue higher studies; Relocation concerns,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Neville,1001102,India - South,5.0,Availability of alternate opportunity to pursue higher studies; Lack of support from family,Pursue further education,Did not have an impact on your motivation to join,,,Did not have an impact on your motivation to join,Did not have an impact on your motivation to join
Lily,1001103,India - South,5.0,Availability of alternate opportunity to pursue higher studies; Different expectations of the Fellowship program,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Lily,1001104,India - South,4.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,,Increased your motivation to join,
Lily,1001105,India - South,3.0,Job opportunity in another organization,Work with another organisation in the same industry,Did not have an impact on your motivation to join,,,Increased your motivation to join,
Lily,1001106,India - South,5.0,Medical concerns (for self or family),I am not sure yet,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Lily,1001107,India - South,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,,Increased your motivation to join,
Lily,1001108,India - South,4.0,Lack of support from family; Medical concerns (for self or family),I am not sure yet,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join
Lily,1001109,India - South,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Lily,1001110,India - South,4.0,Lack of support from family; Medical concerns (for self or family),I plan to pursue other personal activities,Did not have an impact on your motivation to join,Increased your motivation to join,,Increased your motivation to join,
James,1001111,India - South,5.0,Commitments due to recent/upcoming marriage,Work with another organisation in the same industry,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
James,1001112,India - South,5.0,Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
James,1001113,India - South,5.0,Concerned about financial commitments,Explore other opportunities within the education sector,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
James,1001114,India - South,5.0,Medical concerns (for self or family); Relocation concerns,Work with another organisation in the same industry,Increased your motivation to join,,,Increased your motivation to join,
James,1001115,India - South,5.0,Job opportunity in another organization; Inability to join on Institute start date,Others,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
James,1001116,India - South,5.0,Availability of alternate opportunity to pursue higher studies; Lack of support from family,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
James,1001117,India - South,5.0,Lack of support from family; Medical concerns (for self or family),Pursue further education,Increased your motivation to join,,,Increased your motivation to join,
James,1001118,India - South,4.0,Inability to leave current job due to professional commitments; Relocation concerns,Continue working with the same organisation,Did not have an impact on your motivation to join,,,Did not have an impact on your motivation to join,Increased your motivation to join
James,1001119,India - South,3.0,Medical concerns (for self or family),I plan to pursue other personal activities,Increased your motivation to join,,,Increased your motivation to join,
James,1001120,India - South,5.0,Lack of support from family; Medical concerns (for self or family),I am not sure yet,Increased your motivation to join,,,Increased your motivation to join,
James,1001121,India - South,3.0,Lack of support from family; Medical concerns (for self or family),I am not sure yet,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
James,1001122,India - South,5.0,Lack of support from family,I am not sure yet,Increased your motivation to join,,,Decreased your motivation to join,Increased your motivation to join
James,1001123,India - South,4.0,Medical concerns (for self or family),I plan to pursue other personal activities,Increased your motivation to join,,,Increased your motivation to join,
James,1001124,India - South,5.0,Concerned about financial commitments,Continue working with the same organisation,,Increased your motivation to join,,Increased your motivation to join,
James,1001125,India - South,4.0,Commitments due to recent/upcoming marriage; Medical concerns (for self or family),I plan to pursue other personal activities,Increased your motivation to join,,,Increased your motivation to join,
James,1001126,India - South,5.0,Lack of support from family,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
James,1001127,India - South,5.0,Job opportunity in another organization,Work with another organisation in the same industry,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
James,1001128,India - South,4.0,Inability to join on Institute start date,Others,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
James,1001129,India - South,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Did not have an impact on your motivation to join,,,Increased your motivation to join,Increased your motivation to join
James,1001130,India - South,,Availability of alternate opportunity to pursue higher studies; Medical concerns (for self or family),I plan to pursue other personal activities,Increased your motivation to join,,,Did not have an impact on your motivation to join,
Sirius,1001131,India - West,5.0,Job opportunity in another organization,Work with another organisation in the same industry,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Sirius,1001132,India - West,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,,Increased your motivation to join,
Snape,1001133,India - West,5.0,Job opportunity in another organization,Work with another organisation in the same industry,Increased your motivation to join,,,Increased your motivation to join,
Snape,1001134,India - West,2.0,Others,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Snape,1001135,India - West,3.0,Job opportunity in another organization; Concerned about financial commitments; Relocation concerns; Uncertainty about opportunities Post-Fellowship,I am not sure yet,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Snape,1001136,India - West,2.0,Inability to join on Institute start date,Continue working with the same organisation,Did not have an impact on your motivation to join,Did not have an impact on your motivation to join,Increased your motivation to join,Did not have an impact on your motivation to join,
Snape,1001137,India - West,4.0,Uncertainty about possessing skills required to participate in the Fellowship program,I plan to pursue other personal activities,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join,
Snape,1001138,India - West,5.0,Medical concerns (for self or family),I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join,
Draco,1001139,India - West,4.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,,,Increased your motivation to join,
Draco,1001140,India - West,3.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Draco,1001141,India - West,5.0,Availability of alternate opportunity to pursue higher studies,Pursue further education,,,,Increased your motivation to join,
Draco,1001142,India - West,5.0,Lack of support from family,Continue working with the same organisation,Did not have an impact on your motivation to join,,,Increased your motivation to join,
Draco,1001143,India - West,3.0,Commitments due to recent/upcoming marriage; Uncertainty about possessing skills required to participate in the Fellowship program,Explore other opportunities within the education sector,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Draco,1001144,India - West,5.0,Medical concerns (for self or family),I plan to pursue other personal activities,Increased your motivation to join,,,Increased your motivation to join,
Draco,1001145,India - West,3.0,Inability to leave current job due to professional commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Did not have an impact on your motivation to join
Draco,1001146,India - West,4.0,Lack of support from family,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Draco,1001147,India - West,3.0,Inability to leave current job due to professional commitments,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join,
Draco,1001148,India - West,5.0,Medical concerns (for self or family); Relocation concerns,Continue working with the same organisation,,,,Increased your motivation to join,Increased your motivation to join
Draco,1001149,India - West,4.0,Concerned about financial commitments; Concerned about expected stipend,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Draco,1001150,India - West,4.0,Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Draco,1001151,India - West,5.0,Inability to leave current job due to professional commitments; Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Draco,1001152,India - West,5.0,Lack of support from family,Explore other opportunities within the education sector,Increased your motivation to join,,,Increased your motivation to join,
Draco,1001153,India - West,5.0,Relocation concerns; Others,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Draco,1001154,India - West,5.0,Concerned about financial commitments; Relocation concerns,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join,
Draco,1001155,India - West,3.0,Concerned about financial commitments; Medical concerns (for self or family),Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join,Increased your motivation to join
Draco,1001156,India - West,4.0,Relocation concerns,Explore other opportunities within the education sector,Increased your motivation to join,,,Increased your motivation to join,
Draco,1001157,India - West,5.0,Concerned about financial commitments; Concerned about expected stipend; Relocation concerns,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,Increased your motivation to join
Draco,1001158,India - West,3.0,Concerned about financial commitments; Different expectations of the Fellowship program,Continue working with the same organisation; Explore other opportunities within the education sector,,,,Increased your motivation to join,Did not have an impact on your motivation to join
Draco,1001159,India - West,4.0,Commitments due to recent/upcoming marriage,Continue working with the same organisation; I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Draco,1001160,India - West,5.0,Job opportunity in another organization,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join,
Draco,1001161,India - West,5.0,Concerned about financial commitments,I am not sure yet,Increased your motivation to join,,,Increased your motivation to join,
Draco,1001162,India - West,5.0,Job opportunity in another organization,Work with another organisation in the same industry,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join,
Sirius,1001163,International,,Availability of alternate opportunity to pursue higher studies; Different expectations of the Fellowship program,Pursue further education,,Did not have an impact on your motivation to join,,Increased your motivation to join,
