candidate_id_number,name_of_tfi_recruiter,region,initial_likelihood_of_joining_the_fellowship_scale_of_15_with_5_being_extremely_high_likelihood_at_time_of_receiving_the_offer,factor_that_led_to_declining_the_offer,instead_of_the_fellowship_ill_be_doing,how_did_chatting_with_a_recruiter_over_phone_call_impact_your_motivation_to_join_the_fellowship,how_did_exchanging_emails_with_the_recruitment_team_impact_your_motivation_to_join_the_fellowship,how_did_attending_any_of_the_recruitment_events_impact_your_motivation_to_join_the_fellowship,how_did_meeting_during_the_group_interview_stage_impact_your_motivation_to_join_the_fellowship
1001143,Draco,India - West,3.0,Commitments due to recent/upcoming marriage; Uncertainty about possessing skills required to participate in the Fellowship program,Explore other opportunities within the education sector,Increased your motivation to join,,,Increased your motivation to join
1001144,Draco,India - West,5.0,Medical concerns (for self or family),I plan to pursue other personal activities,Increased your motivation to join,,,Increased your motivation to join
1001145,Draco,India - West,3.0,Inability to leave current job due to professional commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001146,Draco,India - West,4.0,Lack of support from family,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001147,Draco,India - West,3.0,Inability to leave current job due to professional commitments,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join
1001148,Draco,India - West,5.0,Medical concerns (for self or family); Relocation concerns,Continue working with the same organisation,,,,Increased your motivation to join
1001149,Draco,India - West,4.0,Concerned about financial commitments; Concerned about expected stipend,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001150,Draco,India - West,4.0,Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001151,Draco,India - West,5.0,Inability to leave current job due to professional commitments; Concerned about financial commitments,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001152,Draco,India - West,5.0,Lack of support from family,Explore other opportunities within the education sector,Increased your motivation to join,,,Increased your motivation to join
1001153,Draco,India - West,5.0,Relocation concerns; Others,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001154,Draco,India - West,5.0,Concerned about financial commitments; Relocation concerns,Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join
1001155,Draco,India - West,3.0,Concerned about financial commitments; Medical concerns (for self or family),Continue working with the same organisation,Increased your motivation to join,,,Increased your motivation to join
1001156,Draco,India - West,4.0,Relocation concerns,Explore other opportunities within the education sector,Increased your motivation to join,,,Increased your motivation to join
1001157,Draco,India - West,5.0,Concerned about financial commitments; Concerned about expected stipend; Relocation concerns,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001158,Draco,India - West,3.0,Concerned about financial commitments; Different expectations of the Fellowship program,Continue working with the same organisation; Explore other opportunities within the education sector,,,,Increased your motivation to join
1001159,Draco,India - West,4.0,Commitments due to recent/upcoming marriage,Continue working with the same organisation; I plan to pursue other personal activities,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001160,Draco,India - West,5.0,Job opportunity in another organization,Continue working with the same organisation,Increased your motivation to join,Increased your motivation to join,,Increased your motivation to join
1001161,Draco,India - West,5.0,Concerned about financial commitments,I am not sure yet,Increased your motivation to join,,,Increased your motivation to join
1001162,Draco,India - West,5.0,Job opportunity in another organization,Work with another organisation in the same industry,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join,Increased your motivation to join
1001163,Sirius,International,,Availability of alternate opportunity to pursue higher studies; Different expectations of the Fellowship program,Pursue further education,,Did not have an impact on your motivation to join,,Increased your motivation to join
